Date (mm/dd/yyyy),Day of Week,Time stressed (min),Time slept (minutes,Number of classes,Number of Steps,Sleep efficiency (%),Hours worked,Pilates
1/9/2026,Friday,90,536,1,15920,93%,0,Yes
1/10/2026,Saturday,195,477,0,15037,87%,0,Yes
1/11/2026,Sunday,150,551,0,20481,93%,0,Yes
1/12/2026,Monday,180,230,2,12044,51%,2,Yes
1/13/2026,Tuesday,135,564,3,15650,94%,0,Yes
1/14/2026,Wednesday,315,422,1,16534,78%,3,Yes
1/15/2026,Thursday,180,537,3,10370,92%,0,Yes
1/16/2026,Friday,225,486,1,14385,75%,0,Yes
1/17/2026,Saturday,285,549,0,14590,90%,4,Yes
1/18/2026,Sunday,195,520,0,21677,90%,0,Yes
1/19/2026,Monday,180,447,0,13719,77%,2,Yes
1/20/2026,Tuesday,45,548,4,17507,86%,0,Yes
1/21/2026,Wednesday,120,473,1,15392,80%,2,Yes
1/22/2026,Thursday,135,570,3,12198,88%,0,Yes
1/23/2026,Friday,105,567,1,20081,90%,3,Yes
1/24/2026,Saturday,120,466,0,16996,82%,4,Yes
1/25/2026,Sunday,195,542,0,10808,77%,0,Yes
1/26/2026,Monday,60,463,2,14693,78%,2,Yes
1/27/2026,Tuesday,90,491,3,11021,85%,0,Yes
1/28/2026,Wednesday,135,516,1,16275,89%,3,Yes
1/29/2026,Thursday,180,543,4,12642,90%,0,Yes
1/30/2026,Friday,60,536,1,22877,87%,0,Yes
1/31/2026,Saturday,90,567,0,13183,83%,4,Yes
2/1/2026,Sunday,135,533,0,17172,80%,0,Yes
2/2/2026,Monday,150,563,2,16790,93%,2,Yes
2/3/2026,Tuesday,90,554,4,17739,90%,0,Yes
2/4/2026,Wednesday,270,501,1,17174,84%,3,Yes
2/5/2026,Thursday,240,421,3,15062,87%,0,Yes
2/6/2026,Friday,345,509,1,14603,92%,0,Yes
2/7/2026,Saturday,210,501,0,18932,89%,0,Yes
2/8/2026,Sunday,180,561,0,20208,91%,0,Yes
2/9/2026,Monday,210,540,2,16758,93%,2,Yes
2/10/2026,Tuesday,195,522,3,10753,89%,0,Yes
2/11/2026,Wednesday,285,473,1,12504,90%,3,Yes
2/12/2026,Thursday,180,499,3,17093,88%,0,Yes
2/13/2026,Friday,195,483,1,15342,81%,0,Yes
2/14/2026,Saturday,75,427,0,23016,86%,4,Yes
2/15/2026,Sunday,120,423,0,12915,77%,0,Yes
2/16/2026,Monday,90,603,0,17815,92%,2,Yes
2/17/2026,Tuesday,120,524,5,11557,93%,0,Yes
2/18/2026,Wednesday,225,541,1,17432,91%,3,Yes
2/19/2026,Thursday,210,505,3,11666,89%,0,Yes
2/20/2026,Friday,90,456,1,22187,91%,0,Yes
2/21/2026,Saturday,105,367,0,15558,72%,4,Yes
2/22/2026,Sunday,180,501,0,13020,91%,0,Yes
2/23/2026,Monday,90,530,2,18212,88%,2,Yes
2/24/2026,Tuesday,45,577,3,14931,91%,0,Yes
2/25/2026,Wednesday,255,564,0,20371,93%,3,Yes
2/26/2026,Thursday,330,514,3,14297,92%,0,Yes
2/27/2026,Friday,240,372,1,16116,89%,0,Yes
2/28/2026,Saturday,255,526,0,13859,87%,0,Yes
3/1/2026,Sunday,210,591,0,19906,94%,0,Yes
3/2/2026,Monday,195,345,2,18581,79%,2,Yes
3/3/2026,Tuesday,165,545,3,15977,95%,0,Yes
3/4/2026,Wednesday,165,500,1,15134,85%,3,Yes
3/5/2026,Thursday,240,468,3,10652,91%,0,Yes
